id,title,genres,language,duration,description,director,rating,releaseDate,isActive,tags
20794,Election Congress child,Comedy,French,129,Total condition decision under hot. Three account hour possible.,Denis Villeneuve,6.7,1987-05-28,true,"family, crime"
20795,Company artist visit,Horror,"Spanish, Korean",90,Commercial manager visit. Include list tonight tonight type attorney. Environmental western serve reality fear growth.,Martin Scorsese,1.8,2014-09-25,true,"heist, love, crime"
20796,Four page present game,Horror,Hindi,100,Black record throw statement like partner walk. Deep evidence attention your. You take side describe law country.,Bong Joon-ho,7.7,2004-11-15,true,"revenge, survival, mystery"
20797,Capital between,"Sci-Fi, Documentary, Action",English,102,Able way discuss offer. Kitchen whose rule age fall also.,Greta Gerwig,9.4,2015-12-28,true,mystery
20798,Movie,"Action, Animation",English,136,Friend join the address inside. Road especially executive computer.,Denis Villeneuve,6.9,2025-08-20,true,"survival, future, friendship"
20799,Suggest away its,Action,Japanese,154,Free nearly would story heavy article order. Happy hotel company hour. Impact letter fall ago travel energy.,Martin Scorsese,8.3,2009-08-25,true,"family, survival, space"
20800,Product through usually,"Drama, Documentary","English, Korean",128,Card nation indicate fly standard join. Fall particular very amount piece under.,Martin Scorsese,6.9,1981-05-16,true,"family, dreams, future"
20801,Administration company,Action,"Spanish, German",113,Usually end official blue list alone magazine clear. Happy most unit cause song yet opportunity forget. Keep certain or. Several help check member.,Sofia Coppola,1.4,1991-10-01,true,"heist, time travel, coming-of-age"
20802,What professor,Comedy,"Japanese, Korean",100,Then article line end your. Third both town table police.,James Cameron,2.4,2024-07-27,true,"underdog, war"
20803,Successful draw democratic,Animation,"Mandarin, Korean",137,School seat perform. Collection skill color cold. Event know mouth artist PM ball quality seven.,Taika Waititi,6.1,2015-07-12,true,"friendship, dreams, revenge"
20804,Suddenly teacher program since,"Comedy, Thriller, Adventure",French,115,House character early six trouble have. Human response evening page together. Place easy study air star treat.,Taika Waititi,3.3,1993-01-31,false,"love, heist"
20805,Bill buy organization boy,"Horror, Sci-Fi, Action",Hindi,133,Term investment last see break.,Chloe Zhao,7.2,2018-12-14,true,"revenge, friendship"
20806,Research whose gas,Thriller,Spanish,124,And particular memory offer southern central offer card. Drive by north. Good above billion brother day later.,Steven Spielberg,2.7,2013-07-01,true,"war, crime"
20807,Single travel,"Sci-Fi, Documentary, Thriller",Korean,136,Sort say should wonder take study writer. Think visit between certainly teacher energy. More course including some total attorney.,Wes Anderson,3.6,2000-06-12,true,future
20808,Life star do,Animation,French,171,Also beyond happen though director before fall. Yeah his church check simple need.,Ridley Scott,3.1,1989-02-14,false,"coming-of-age, love, crime"
20809,Exist play worry,"Adventure, Documentary, Horror","Korean, Mandarin",139,News door ability possible. Explain tree provide teacher education professional. Long citizen particularly seem game anyone market.,Denis Villeneuve,4.9,2004-04-25,true,"family, friendship"
20810,Majority responsibility,Comedy,Mandarin,118,Between pass computer establish air such. Movie development make discuss here identify. Bag similar against very. Trip police keep PM oil skill whether.,Ava DuVernay,8.8,1991-11-02,true,"love, crime, revenge"
20811,And,"Adventure, Romance, Documentary","Korean, Mandarin",168,Want water rock key wall help manager million. Value shoulder over happen give. Late increase box court recently rich hour leader.,Chloe Zhao,1.2,2018-04-08,true,"dreams, crime"
20812,Research ever change,"Sci-Fi, Adventure",Spanish,173,Finally deep staff technology serious including. During at politics interest capital I adult. Skin worker serve.,Ava DuVernay,8.7,2004-05-23,true,"future, time travel, heist"
20813,Nice hit answer,"Romance, Action",Spanish,156,Second thought quality understand action side country player. Down central consumer pay. Inside all glass oil challenge try.,Denis Villeneuve,5.3,2005-02-25,true,"war, crime, revenge"
20814,Present quite star,Drama,"Mandarin, English",126,Paper message maintain training. Support improve anyone long thing win surface. Decision week form today night whole bar.,Ridley Scott,3.1,2017-02-28,true,"heist, underdog, dreams"
20815,Leader someone,"Adventure, Horror",English,98,Cover cultural commercial situation camera. Girl career less next religious when note. Official great these season condition interview.,Quentin Tarantino,8.2,2013-03-07,true,war
20816,Yes fact,"Animation, Sci-Fi, Documentary","Japanese, English",123,General can computer current avoid financial. Any natural debate oil father.,James Cameron,4.5,2006-01-27,true,"dreams, friendship, future"
20817,Land tough such,"Romance, Documentary","German, Mandarin",98,Charge player stuff and. Window serious final memory. Debate leader north require the case pretty.,Chloe Zhao,3.2,2001-05-13,true,mystery
20818,Across building world,"Romance, Animation",Hindi,128,Indicate radio employee someone either him.,Jordan Peele,7.8,2013-07-04,false,"future, love"
20819,Foreign professional fight,"Thriller, Drama, Adventure",Hindi,92,Me approach over whole wonder matter. Amount security claim kid after address. Season morning citizen crime dinner participant low.,Ava DuVernay,5.5,2009-07-23,true,"mystery, love, time travel"
20820,Wait official land,"Thriller, Horror, Action","Hindi, Spanish",144,Company bank up until window.,Taika Waititi,1.8,1985-11-30,true,"coming-of-age, heist"
20821,Life PM,Comedy,German,155,Feeling suffer shake. My plan those. Service catch before politics beautiful carry very. Number enough left before increase energy.,Taika Waititi,4.0,1982-06-06,true,dreams
20822,Across training,"Animation, Comedy, Adventure","Korean, German",111,Myself indeed kind learn friend. Less television perhaps phone between career should.,Bong Joon-ho,1.4,2003-05-23,true,crime
20823,Kind,"Comedy, Sci-Fi, Drama","Japanese, Korean",164,Increase but as task individual. Whose religious happy front show leg.,Ridley Scott,9.2,1986-06-06,false,"war, survival, dreams"
20824,Important wrong government,Animation,Korean,108,Staff wish establish heart age hand light relationship. Class send themselves less. Speak move game price score.,Steven Spielberg,9.4,1999-10-23,true,"future, heist"
20825,Analysis how,"Adventure, Drama, Documentary","English, Korean",129,Teacher sense admit. Candidate future statement feeling. Life imagine rest board dark.,Bong Joon-ho,1.7,2015-12-09,true,"underdog, family, time travel"
20826,True wait,"Thriller, Action",Mandarin,97,Stop school since improve. Walk market fear my area under few.,Greta Gerwig,5.9,1984-10-01,true,"heist, underdog"
20827,Interesting although option,"Animation, Adventure, Action",Hindi,163,Direction person provide. Among so president. Leave second anything arm how. Break city probably guy author action agency turn.,Chloe Zhao,7.2,2020-08-11,true,"mystery, crime"
20828,Keep large,Romance,Korean,135,Vote southern tend tend husband image side pressure. Light institution perhaps as speech boy myself. Sea of positive series doctor place yes wonder.,Bong Joon-ho,4.1,1989-04-22,false,"revenge, friendship"
20829,Low hold,"Thriller, Animation","Spanish, English",117,Kid team bank wait school. Option war chance reveal.,Ridley Scott,6.7,2023-03-02,true,love
20830,Even fly indicate,"Action, Drama","German, English",105,Report shoulder south tell fact land. Read minute leg deep first unit final.,Ava DuVernay,2.0,2020-04-06,true,"time travel, space"
20831,Suffer boy store,Action,Japanese,162,Though clear water Republican indicate seat. Section real institution painting. Help eat blue student power.,Quentin Tarantino,3.4,2014-12-31,true,"war, family, time travel"
20832,Dinner Mr,Animation,"Mandarin, Hindi",152,Hotel ready the strategy adult town. Hour significant most move. Interesting catch table meet.,Sofia Coppola,4.5,1991-03-19,true,crime
20833,Because produce remain,"Thriller, Horror",French,157,Skill become analysis here way. Few camera hard little. Through establish member wait. Player specific anyone.,Sofia Coppola,7.0,1980-05-23,true,survival
20834,Pattern election,Thriller,"French, Korean",88,Attention method whether house despite. Society purpose heart family southern return attention. Table hundred wonder as stay region. Stuff health during help local.,Jordan Peele,1.6,1986-07-16,true,"war, coming-of-age"
20835,Community great,"Drama, Adventure","Korean, Mandarin",97,Usually speak sort threat certainly also several prepare. Mrs cost learn high. Enough on reason western matter.,Quentin Tarantino,5.9,2001-09-10,true,survival
20836,Half make,"Drama, Animation, Sci-Fi","German, English",121,Mother somebody film sea. Record create without.,Steven Spielberg,6.2,2004-11-13,true,war
20837,Country tax second,"Horror, Action, Thriller","Mandarin, Spanish",93,Best keep light stuff. Yet ten scene become source feel.,Jordan Peele,3.8,2022-11-29,true,future
20838,Spring think,Drama,"French, Hindi",85,Generation fear whether lot. Difference growth toward fine something lead.,Jordan Peele,1.7,2023-07-31,true,"future, underdog"
20839,And true,Romance,"Hindi, Mandarin",172,Attention than leader word event mean.,Ridley Scott,6.9,2023-08-06,true,war
20840,Course easy,Romance,"German, English",177,Figure event pretty method. Form bar of fish. Treat arrive story spend green investment.,Denis Villeneuve,1.3,2007-12-29,true,crime
20841,Serious for eat area,"Drama, Documentary, Animation","Korean, Mandarin",140,Step wait fund mean adult arm car but. Market base of site bar.,James Cameron,8.9,2005-10-28,true,"love, dreams"
20842,Next vote,"Drama, Adventure",Mandarin,139,Citizen perform top successful. Plan everything month mission born. Choice picture teach understand.,Christopher Nolan,4.2,2018-09-15,true,revenge
20843,Seem summer final production,Thriller,Mandarin,130,Chance almost many candidate spring. Former already individual thank shake dinner avoid. Order market size.,Christopher Nolan,3.3,2005-09-14,true,"survival, future, revenge"
20844,Discussion computer,"Sci-Fi, Drama",Mandarin,157,Fact floor win research specific teach both. Buy college eat involve network rock carry. Investment ten each owner middle century compare.,Quentin Tarantino,9.7,2006-11-28,true,"survival, revenge"
20845,Environmental there enough,"Thriller, Drama",German,136,Senior choose trial who. Protect yourself I amount growth. Team though school effect.,Chloe Zhao,4.6,1996-05-01,true,"heist, time travel, revenge"
20846,Mother hotel,"Horror, Romance, Documentary",Korean,98,Home mission line once leave use whatever. Whole back politics star rate. Safe mission personal investment modern these turn as. Team rest think career three write science each.,Ridley Scott,9.0,2017-11-14,true,dreams
20847,Else address beautiful,"Adventure, Animation",Hindi,154,Money kind word last how respond player. Good claim popular answer single relate. Away red animal strong rate too.,Sofia Coppola,5.9,2026-05-14,true,"family, war, dreams"
20848,Group include tax,Documentary,English,172,Inside of letter. Interest fund per foreign card.,Taika Waititi,4.6,2003-01-01,false,"friendship, underdog, space"
20849,Various agree,"Drama, Horror, Action","Hindi, Mandarin",135,During up cold could worry. Authority commercial read stage seem financial ball.,Chloe Zhao,2.3,2011-01-29,true,"family, heist, mystery"
20850,Policy instead,Sci-Fi,French,125,What base military direction.,James Cameron,9.9,1986-05-01,true,crime
20851,How actually,Sci-Fi,"Korean, German",92,Friend their here send near large. Process alone room into analysis later your wrong. Whole minute region recently.,Greta Gerwig,7.0,1998-10-13,false,"crime, love"
